Найменування зупинки,Попередня назва,Адреса зупинки,Розташування зупинки,Напрямок руху,Район,Автобус,Тролейбус,Трамвай
проспект Перемоги,пр. Перемоги,"Перемоги просп., 77",Перемоги просп.,кінцева,Дзерж.,●,,
проспект Перемоги,пр. Перемоги,"Перемоги просп., 75",Перемоги просп.,до центру,Дзерж.,●,,
проспект Перемоги,пр. Перемоги,"Перемоги просп., 75",Перемоги просп.,до центру,Дзерж.,,,●
проспект Перемоги,пр. Перемоги,"Перемоги просп., 76",Перемоги просп.,від центра,Дзерж.,,,●
проспект Перемоги,пр. Перемоги,"Перемоги просп., 76",Перемоги просп.,від центра,Дзерж.,●,,
Сонячна,вул. Сонячна,"Перемоги просп., 73а",Перемоги просп.,до центру,Дзерж.,,,●
Сонячна,вул. Сонячна,"Перемоги просп., 73а",Перемоги просп.,до центру,Дзерж.,●,,
Сонячна,вул. Сонячна,"Перемоги просп., 74",Перемоги просп.,від центра,Дзерж.,,,●
Сонячна,вул. Сонячна,"Перемоги просп., 74",Перемоги просп.,від центра,Дзерж.,●,,
Шкільна,вул. Шкільна,"Перемоги просп., 67",Перемоги просп.,від центра,Дзерж.,●,,
Шкільна,вул. Шкільна,"Перемоги просп., 67",Перемоги просп.,від центра,Дзерж.,,,●
Шкільна,вул. Шкільна,"Перемоги просп., 68",Перемоги просп.,до центру,Дзерж.,●,,
Шкільна,вул. Шкільна,"Перемоги просп., 68",Перемоги просп.,до центру,Дзерж.,,,●
проспект Людвіга Свободи,пр. Людвіга Свободи ,"Перемоги просп., 61",Перемоги просп.,до центру,Дзерж.,●,,
проспект Людвіга Свободи,пр. Людвіга Свободи ,"Перемоги просп., 61",Перемоги просп.,до центру,Дзерж.,,,●
проспект Людвіга Свободи,пр. Людвіга Свободи ,"Перемоги просп., 64",Перемоги просп.,від центра,Дзерж.,●,,
проспект Людвіга Свободи,пр. Людвіга Свободи ,"Перемоги просп., 64",Перемоги просп.,від центра,Дзерж.,,,●
Банківський інститут,"Банківський інститут, Молодіжна","Перемоги просп., 55",Перемоги просп.,від центра,Дзерж.,●,,
Банківський інститут,"Банківський інститут, Молодіжна","Перемоги просп., 55",Перемоги просп.,від центра,Дзерж.,,,●
Банківський інститут,"Банківський інститут, Молодіжна","Перемоги просп., 52",Перемоги просп.,до центру,Дзерж.,●,,
Банківський інститут,"Банківський інститут, Молодіжна","Перемоги просп., 52",Перемоги просп.,до центру,Дзерж.,,,●
Студмістечко,Студмістечко,"Цілиноградська вул., 50",Ахсарова вул.,до просп. Л. Свободи,Дзерж.,●,,
Студмістечко,Студмістечко,"Ахсарова вул., 11",Ахсарова вул.,до вул. Клочківської,Дзерж.,●,,
Обласна дитяча лікарня,Обласна дитяча лікарня,"Клочківська вул., 358",Перемоги просп.,до центру,Дзерж.,,,●
Обласна дитяча лікарня,Обласна дитяча лікарня,"Клочківська вул., 337",Клочківська вул.,від центра,Дзерж.,,,●
Обласна дитяча лікарня,Обласна дитяча лікарня,"Клочківська вул., 337а",Клочківська вул.,до центру,Дзерж.,●,,
Обласна дитяча лікарня,Обласна дитяча лікарня,"Клочківська вул., 352",Перемоги просп.,від центра,Дзерж.,●,,
вулиця Котельниківська ,Дитяча поліклініка № 7,"Клочківська вул., 364",Клочківська вул.,кінцева,Дзерж.,●,,
бульвар Фронтовиків,"б-р Фронтовиків, Школа ","Клочківська вул., 346а",Клочківська вул.,до центру,Дзерж.,●,,
бульвар Фронтовиків,"б-р Фронтовиків, Школа ","Клочківська вул., 346а",Клочківська вул.,до центру,Дзерж.,,,●
бульвар Фронтовиків,"б-р Фронтовиків, Школа ","Фронтовиків б-р, 1",Клочківська вул.,від центра,Дзерж.,●,,
бульвар Фронтовиків,"б-р Фронтовиків, Школа ","Клочківська вул., 346а",Клочківська вул.,від центра,Дзерж.,,,●
Університет харчування та торгівлі,"Університет харчування та торгівлі, к/т-р «Сучасник»","Клочківська вул., 335",Клочківська вул.,до центру,Дзерж.,●,,
Університет харчування та торгівлі,"Університет харчування та торгівлі, к/т-р «Сучасник»","Клочківська вул., 335",Клочківська вул.,до центру,Дзерж.,,,●
Університет харчування та торгівлі,"Університет харчування та торгівлі, к/т-р «Сучасник»","Клочківська вул., 332",Клочківська вул.,від центра,Дзерж.,●,,
Університет харчування та торгівлі,"Університет харчування та торгівлі, к/т-р «Сучасник»","Клочківська вул., 335",Клочківська вул.,від центра,Дзерж.,,,●
