trans_id,lang,translation
700 richchia sqr,en,700 richchia sqr
700 richchia sqr,ru,пл. 700 летия
700 richchia sqr,uk,Площа 700 річчя
Academy Of Veterinary Medicine,en,Academy Of Veterinary Medicine
Academy Of Veterinary Medicine,ru,Академия ветеринарной медицины
Academy Of Veterinary Medicine,uk,Академія ветеренарної медицини
Akademika Sakharova,en,Akademika Sakharova
Akademika Sakharova,ru,Академика Сахарова
Akademika Sakharova,uk,Академіка Сахарова
Akvapark,en,Akvapark
Akvapark,ru,Аквапарк
Akvapark,uk,Аквапарк
Airport,en,Airport
Airport,ru,Аеропорт
Airport,uk,Аеропорт
Airport-Cene,en,Airport-Cene
Airport-Cene,ru,Аеропорт-Центр
Airport-Cene,uk,Аеропорт-Центр
Akademiya Mystetstv (Art Academy),en,Akademiya Mystetstv (Art Academy)
Akademiya Mystetstv (Art Academy),ru,Академия искусств
Akademiya Mystetstv (Art Academy),uk,Академія Мистецтв
Akademiya Sukhoputnykh Viysk (Army Academy),en,Akademiya Sukhoputnykh Viysk (Army Academy)
Akademiya Sukhoputnykh Viysk (Army Academy),ru,Академия сухопутных войск
Akademiya Sukhoputnykh Viysk (Army Academy),uk,Академія сухопутних військ
Antonovycha,en,Antonovycha
Antonovycha,ru,Антоновыча
Antonovycha,uk,Антоновича
Antonycha,en,Antonycha
Antonycha,ru,Антонича
Antonycha,uk,Антонича
Arctychna,en,Arctychna
Arctychna,ru,Арктическая
Arctychna,uk,Арктична
Arkasa,en,Arkasa
Arkasa,ru,Аркаса
Arkasa,uk,Аркаса
asylum,en,asylum
asylum,ru,Психиатрическая больница
asylum,uk,Психіатрична лікарня
At the request,en,At the request
At the request,ru,По требованию
At the request,uk,На вимогу
ATP 14630,en,ATP 14630
ATP 14630,ru,АТП 14630
ATP 14630,uk,АТП 14630
Aviaciina,en,Aviaciina
Aviaciina,ru,Авиационная
Aviaciina,uk,Авіаційна
Avtobusnyi zavod (Bus Factory),en,Bus Factory
Avtobusnyi zavod (Bus Factory),ru,Автобусный завод
Avtobusnyi zavod (Bus Factory),uk,Автобусний завод
Avtovokzal (Central Bus Station),en,Central Bus Station
Avtovokzal (Central Bus Station),ru,Автовокзал
Avtovokzal (Central Bus Station),uk,Автовокзал
Beethovena,en,Beethovena
Beethovena,ru,Бетховина
Beethovena,uk,Бетховина
Beresteiskoi Unii sqr.,en,Beresteiskoi Unii sqr.
Beresteiskoi Unii sqr.,ru,Площадь Берестейской Унии
Beresteiskoi Unii sqr.,uk,Площа Берестейської Унії
Biberovycha,en,Biberovycha
Biberovycha,ru,Биберовича
Biberovycha,uk,Біберовича
Bilogorshcha-Zernova,en,Bilogorshcha-Zernova
Bilogorshcha-Zernova,ru,Белогорща-Зернова
Bilogorshcha-Zernova,uk,Білогорща-Зернова
Bilohorshcha,en,Bilohorshcha
Bilohorshcha,ru,Белогорща
Bilohorshcha,uk,Білогорща
Bohdanivska 161,en,Bogdanivska 161
Bohdanivska 161,ru,Богдановская 161
Bohdanivska 161,uk,Богданівська 161
Bohdana Khmelnyckoho-Center(Sunday),en,Bohdana Khmelnyckoho-Center(Sunday)
Bohdana Khmelnyckoho-Center(Sunday),ru,Богдана Хмельницкого-Центр (Восресенье)
Bohdana Khmelnyckoho-Center(Sunday),uk,Богдана Хмельницького-Центр (Неділя)
Bohdana Khmelnyckoho,en,Bohdana Khmelnyckoho
Bohdana Khmelnyckoho,ru,Богдана Хмельницкого
Bohdana Khmelnyckoho,uk,Богдана Хмельницького
Bohdana Khmelnyckoho-Center,en,Bohdana Khmelnyckoho-Center
Bohdana Khmelnyckoho-Center,ru,Богдана Хмельницкого-Центр
Bohdana Khmelnyckoho-Center,uk,Богдана Хмельницького-Центр
Bohdanivska 192,en,Bohdanivska 192
Bohdanivska 192,ru,Богдановская 192
Bohdanivska 192,uk,Богданівська 192
Bohdanivska,en,Bohdanivska
Bohdanivska,ru,Богдановская
Bohdanivska,uk,Богданівська
Boichuka,en,Boichuka
